,CTS_Name,Measure,Date,Value
25302,Change in Mean Sea Level,North Atlantic,2013-03-09,-25.59
25303,Change in Mean Sea Level,North Pacific,2013-03-09,-7.49
25304,Change in Mean Sea Level,Pacific Ocean,2013-03-09,32.06
25317,Change in Mean Sea Level,Atlantic Ocean,2013-03-19,32.82
25321,Change in Mean Sea Level,Gulf Mexico,2013-03-19,21.96
25326,Change in Mean Sea Level,North Atlantic,2013-03-19,-31.99
25327,Change in Mean Sea Level,North Pacific,2013-03-19,-10.49
25328,Change in Mean Sea Level,Pacific Ocean,2013-03-19,27.16
25339,Change in Mean Sea Level,North Atlantic,2013-03-21,-21.41
25344,Change in Mean Sea Level,Atlantic Ocean,2013-03-22,30.85
25348,Change in Mean Sea Level,Gulf Mexico,2013-03-22,75.6
25352,Change in Mean Sea Level,North Pacific,2013-03-22,-12.13
25353,Change in Mean Sea Level,Pacific Ocean,2013-03-22,25.6
25362,Change in Mean Sea Level,Atlantic Ocean,2013-03-24,32.65
25367,Change in Mean Sea Level,Gulf Mexico,2013-03-24,-1.5
25372,Change in Mean Sea Level,North Atlantic,2013-03-24,-36.21
25373,Change in Mean Sea Level,North Pacific,2013-03-24,-20.93
25375,Change in Mean Sea Level,Pacific Ocean,2013-03-24,23.5
25387,Change in Mean Sea Level,North Atlantic,2013-03-31,-28.11
25390,Change in Mean Sea Level,Atlantic Ocean,2013-04-01,36.75
25393,Change in Mean Sea Level,Gulf Mexico,2013-04-01,-2.3
25398,Change in Mean Sea Level,North Pacific,2013-04-01,-18.53
25400,Change in Mean Sea Level,Pacific Ocean,2013-04-01,25.9
25413,Change in Mean Sea Level,Atlantic Ocean,2013-04-11,23.55
25419,Change in Mean Sea Level,North Atlantic,2013-04-11,-52.51
25420,Change in Mean Sea Level,North Pacific,2013-04-11,-15.43
25422,Change in Mean Sea Level,Pacific Ocean,2013-04-11,27.9
25429,Change in Mean Sea Level,Gulf Mexico,2013-04-12,-5.7
25438,Change in Mean Sea Level,Gulf Mexico,2013-04-17,2.96
25446,Change in Mean Sea Level,Atlantic Ocean,2013-04-18,29.82
25451,Change in Mean Sea Level,North Atlantic,2013-04-18,-29.99
25452,Change in Mean Sea Level,North Pacific,2013-04-18,-5.79
25453,Change in Mean Sea Level,Pacific Ocean,2013-04-18,30.56
25461,Change in Mean Sea Level,Atlantic Ocean,2013-04-22,26.65
25464,Change in Mean Sea Level,Gulf Mexico,2013-04-22,0.3
25468,Change in Mean Sea Level,North Atlantic,2013-04-22,-27.01
25469,Change in Mean Sea Level,Pacific Ocean,2013-04-22,24.4
25479,Change in Mean Sea Level,North Pacific,2013-04-23,-8.73
25488,Change in Mean Sea Level,Gulf Mexico,2013-04-27,17.06
25494,Change in Mean Sea Level,Pacific Ocean,2013-04-27,29.36
25503,Change in Mean Sea Level,Atlantic Ocean,2013-04-28,30.22
25506,Change in Mean Sea Level,North Atlantic,2013-04-28,-21.79
25507,Change in Mean Sea Level,North Pacific,2013-04-28,-11.29
25514,Change in Mean Sea Level,Atlantic Ocean,2013-04-30,26.85
25518,Change in Mean Sea Level,Gulf Mexico,2013-04-30,11.7
25523,Change in Mean Sea Level,North Atlantic,2013-04-30,-29.71
25524,Change in Mean Sea Level,North Pacific,2013-04-30,-16.73
25526,Change in Mean Sea Level,Pacific Ocean,2013-04-30,22.3
25536,Change in Mean Sea Level,Atlantic Ocean,2013-05-07,43.45
25543,Change in Mean Sea Level,North Atlantic,2013-05-07,-13.41
25544,Change in Mean Sea Level,North Pacific,2013-05-07,-16.93
25546,Change in Mean Sea Level,Pacific Ocean,2013-05-07,18.5
25553,Change in Mean Sea Level,Atlantic Ocean,2013-05-07,38.52
25556,Change in Mean Sea Level,Gulf Mexico,2013-05-07,24.96
25561,Change in Mean Sea Level,North Pacific,2013-05-07,-13.39
25563,Change in Mean Sea Level,Pacific Ocean,2013-05-07,19.06
25572,Change in Mean Sea Level,Gulf Mexico,2013-05-08,11.9
25578,Change in Mean Sea Level,North Atlantic,2013-05-08,-7.19
25588,Change in Mean Sea Level,Atlantic Ocean,2013-05-17,27.82
25591,Change in Mean Sea Level,Gulf Mexico,2013-05-17,17.36
25596,Change in Mean Sea Level,North Pacific,2013-05-17,7.31
25598,Change in Mean Sea Level,Pacific Ocean,2013-05-17,27.46
25608,Change in Mean Sea Level,Atlantic Ocean,2013-05-18,31.85
25616,Change in Mean Sea Level,North Atlantic,2013-05-18,-10.71
25617,Change in Mean Sea Level,North Pacific,2013-05-18,9.37
25619,Change in Mean Sea Level,Pacific Ocean,2013-05-18,30
25628,Change in Mean Sea Level,North Atlantic,2013-05-18,-10.79
25631,Change in Mean Sea Level,Gulf Mexico,2013-05-19,20.4
25637,Change in Mean Sea Level,Atlantic Ocean,2013-05-27,21.22
25640,Change in Mean Sea Level,Gulf Mexico,2013-05-27,31.46
25645,Change in Mean Sea Level,North Atlantic,2013-05-27,-22.59
25646,Change in Mean Sea Level,North Pacific,2013-05-27,15.41
25648,Change in Mean Sea Level,Pacific Ocean,2013-05-27,31.96
25663,Change in Mean Sea Level,Atlantic Ocean,2013-05-29,19.15
25667,Change in Mean Sea Level,Gulf Mexico,2013-05-29,18.6
25672,Change in Mean Sea Level,North Atlantic,2013-05-29,-26.11
25673,Change in Mean Sea Level,North Pacific,2013-05-29,13.57
25675,Change in Mean Sea Level,Pacific Ocean,2013-05-29,35.3
25686,Change in Mean Sea Level,Atlantic Ocean,2013-06-06,13.52
25689,Change in Mean Sea Level,Gulf Mexico,2013-06-06,10.96
25694,Change in Mean Sea Level,North Atlantic,2013-06-06,-16.99
25695,Change in Mean Sea Level,North Pacific,2013-06-06,20.71
25697,Change in Mean Sea Level,Pacific Ocean,2013-06-06,37.56
25714,Change in Mean Sea Level,Atlantic Ocean,2013-06-09,15.35
25717,Change in Mean Sea Level,Gulf Mexico,2013-06-09,-14.3
25722,Change in Mean Sea Level,North Atlantic,2013-06-09,-20.51
25723,Change in Mean Sea Level,North Pacific,2013-06-09,14.57
25725,Change in Mean Sea Level,Pacific Ocean,2013-06-09,34.6
25737,Change in Mean Sea Level,Atlantic Ocean,2013-06-16,25.05
25741,Change in Mean Sea Level,Gulf Mexico,2013-06-16,24.9
25745,Change in Mean Sea Level,North Atlantic,2013-06-16,-3.21
25746,Change in Mean Sea Level,North Pacific,2013-06-16,14.37
25748,Change in Mean Sea Level,Pacific Ocean,2013-06-16,23
25756,Change in Mean Sea Level,Atlantic Ocean,2013-06-16,25.92
25760,Change in Mean Sea Level,Gulf Mexico,2013-06-16,25.76
25765,Change in Mean Sea Level,North Atlantic,2013-06-16,2.71
25766,Change in Mean Sea Level,North Pacific,2013-06-16,18.91
25768,Change in Mean Sea Level,Pacific Ocean,2013-06-16,28.86
25787,Change in Mean Sea Level,Atlantic Ocean,2013-06-26,30.12
25791,Change in Mean Sea Level,Gulf Mexico,2013-06-26,50.56
25796,Change in Mean Sea Level,North Atlantic,2013-06-26,10.31
25797,Change in Mean Sea Level,North Pacific,2013-06-26,38.61
25799,Change in Mean Sea Level,Pacific Ocean,2013-06-26,33.26
25814,Change in Mean Sea Level,Atlantic Ocean,2013-07-06,47.02
25818,Change in Mean Sea Level,Gulf Mexico,2013-07-06,79.46
25823,Change in Mean Sea Level,North Atlantic,2013-07-06,37.61
25824,Change in Mean Sea Level,North Pacific,2013-07-06,34.51
25825,Change in Mean Sea Level,Pacific Ocean,2013-07-06,25.76
25840,Change in Mean Sea Level,Atlantic Ocean,2013-07-16,47.42
25844,Change in Mean Sea Level,Gulf Mexico,2013-07-16,67.06
25849,Change in Mean Sea Level,North Atlantic,2013-07-16,50.21
25850,Change in Mean Sea Level,North Pacific,2013-07-16,38.61
25851,Change in Mean Sea Level,Pacific Ocean,2013-07-16,25.26
25867,Change in Mean Sea Level,Atlantic Ocean,2013-07-26,33.42
25870,Change in Mean Sea Level,Gulf Mexico,2013-07-26,55.46
25874,Change in Mean Sea Level,North Atlantic,2013-07-26,41.61
25875,Change in Mean Sea Level,North Pacific,2013-07-26,52.01
25876,Change in Mean Sea Level,Pacific Ocean,2013-07-26,35.96
25893,Change in Mean Sea Level,Atlantic Ocean,2013-08-05,41.92
25896,Change in Mean Sea Level,Gulf Mexico,2013-08-05,58.76
25899,Change in Mean Sea Level,North Atlantic,2013-08-05,56.01
25900,Change in Mean Sea Level,North Pacific,2013-08-05,64.81
25901,Change in Mean Sea Level,Pacific Ocean,2013-08-05,35.06
25912,Change in Mean Sea Level,Gulf Mexico,2013-08-14,72.66
25917,Change in Mean Sea Level,North Pacific,2013-08-14,73.51
25919,Change in Mean Sea Level,Pacific Ocean,2013-08-14,33.86
25928,Change in Mean Sea Level,Atlantic Ocean,2013-08-15,38.52
25931,Change in Mean Sea Level,North Atlantic,2013-08-15,70.61
25936,Change in Mean Sea Level,Atlantic Ocean,2013-08-24,39.22
25939,Change in Mean Sea Level,Gulf Mexico,2013-08-24,91.06
25944,Change in Mean Sea Level,North Pacific,2013-08-24,87.31
25946,Change in Mean Sea Level,Pacific Ocean,2013-08-24,37.96
25956,Change in Mean Sea Level,North Atlantic,2013-08-25,76.51
25962,Change in Mean Sea Level,Atlantic Ocean,2013-09-02,43.42
25966,Change in Mean Sea Level,Gulf Mexico,2013-09-02,112.46
25971,Change in Mean Sea Level,North Atlantic,2013-09-02,79.51
25972,Change in Mean Sea Level,North Pacific,2013-09-02,84.51
25974,Change in Mean Sea Level,Pacific Ocean,2013-09-02,39.26
25993,Change in Mean Sea Level,Atlantic Ocean,2013-09-16,37.82
25996,Change in Mean Sea Level,Gulf Mexico,2013-09-16,69.96
26000,Change in Mean Sea Level,North Atlantic,2013-09-16,77.51
26001,Change in Mean Sea Level,North Pacific,2013-09-16,84.31
26002,Change in Mean Sea Level,Pacific Ocean,2013-09-16,40.96
26011,Change in Mean Sea Level,Atlantic Ocean,2013-09-23,40.32
26015,Change in Mean Sea Level,Gulf Mexico,2013-09-23,83.46
26020,Change in Mean Sea Level,North Atlantic,2013-09-23,76.81
26021,Change in Mean Sea Level,North Pacific,2013-09-23,100.11
26023,Change in Mean Sea Level,Pacific Ocean,2013-09-23,48.86
26038,Change in Mean Sea Level,Atlantic Ocean,2013-10-03,38.92
26042,Change in Mean Sea Level,Gulf Mexico,2013-10-03,94.86
26047,Change in Mean Sea Level,North Atlantic,2013-10-03,78.61
26048,Change in Mean Sea Level,North Pacific,2013-10-03,117.81
26049,Change in Mean Sea Level,Pacific Ocean,2013-10-03,50.96
26064,Change in Mean Sea Level,Atlantic Ocean,2013-10-13,52.72
26068,Change in Mean Sea Level,Gulf Mexico,2013-10-13,102.76
26073,Change in Mean Sea Level,North Atlantic,2013-10-13,86.61
26074,Change in Mean Sea Level,North Pacific,2013-10-13,107.11
26075,Change in Mean Sea Level,Pacific Ocean,2013-10-13,39.76
26091,Change in Mean Sea Level,Atlantic Ocean,2013-10-23,59.32
26095,Change in Mean Sea Level,Gulf Mexico,2013-10-23,111.86
26099,Change in Mean Sea Level,North Atlantic,2013-10-23,76.91
26100,Change in Mean Sea Level,North Pacific,2013-10-23,92.21
26101,Change in Mean Sea Level,Pacific Ocean,2013-10-23,36.06
26115,Change in Mean Sea Level,Atlantic Ocean,2013-11-02,68.72
26119,Change in Mean Sea Level,Gulf Mexico,2013-11-02,124.56
26123,Change in Mean Sea Level,North Atlantic,2013-11-02,96.51
26124,Change in Mean Sea Level,North Pacific,2013-11-02,81.41
26126,Change in Mean Sea Level,Pacific Ocean,2013-11-02,31.66
26136,Change in Mean Sea Level,Gulf Mexico,2013-11-11,87.66
26144,Change in Mean Sea Level,Atlantic Ocean,2013-11-12,52.12
26150,Change in Mean Sea Level,North Atlantic,2013-11-12,73.41
26151,Change in Mean Sea Level,North Pacific,2013-11-12,70.51
26152,Change in Mean Sea Level,Pacific Ocean,2013-11-12,34.56
26161,Change in Mean Sea Level,Gulf Mexico,2013-11-21,95.66
26165,Change in Mean Sea Level,Pacific Ocean,2013-11-21,29.86
26172,Change in Mean Sea Level,Atlantic Ocean,2013-11-22,58.62
26177,Change in Mean Sea Level,North Atlantic,2013-11-22,67.61
26178,Change in Mean Sea Level,North Pacific,2013-11-22,52.11
26188,Change in Mean Sea Level,Gulf Mexico,2013-12-01,70.76
26193,Change in Mean Sea Level,North Pacific,2013-12-01,47.51
26195,Change in Mean Sea Level,Pacific Ocean,2013-12-01,28.76
26204,Change in Mean Sea Level,Atlantic Ocean,2013-12-02,55.62
26206,Change in Mean Sea Level,North Atlantic,2013-12-02,58.31
26211,Change in Mean Sea Level,Atlantic Ocean,2013-12-11,62.42
26214,Change in Mean Sea Level,Gulf Mexico,2013-12-11,75.76
26218,Change in Mean Sea Level,North Atlantic,2013-12-11,58.81
26219,Change in Mean Sea Level,North Pacific,2013-12-11,40.21
26221,Change in Mean Sea Level,Pacific Ocean,2013-12-11,21.76
26236,Change in Mean Sea Level,Atlantic Ocean,2013-12-21,50.22
26239,Change in Mean Sea Level,Gulf Mexico,2013-12-21,32.76
26244,Change in Mean Sea Level,North Atlantic,2013-12-21,48.01
26245,Change in Mean Sea Level,North Pacific,2013-12-21,34.71
26247,Change in Mean Sea Level,Pacific Ocean,2013-12-21,24.76
26262,Change in Mean Sea Level,Atlantic Ocean,2013-12-31,43.82
26265,Change in Mean Sea Level,Gulf Mexico,2013-12-31,28.76
26270,Change in Mean Sea Level,North Atlantic,2013-12-31,29.01
26271,Change in Mean Sea Level,North Pacific,2013-12-31,33.21
26273,Change in Mean Sea Level,Pacific Ocean,2013-12-31,35.86
26286,Change in Mean Sea Level,Atlantic Ocean,2014-01-10,41.62
26289,Change in Mean Sea Level,Gulf Mexico,2014-01-10,-12.74
26294,Change in Mean Sea Level,North Atlantic,2014-01-10,25.71
26295,Change in Mean Sea Level,North Pacific,2014-01-10,19.31
26297,Change in Mean Sea Level,Pacific Ocean,2014-01-10,30.96
26313,Change in Mean Sea Level,Atlantic Ocean,2014-01-20,33.82
26317,Change in Mean Sea Level,Gulf Mexico,2014-01-20,-11.24
26322,Change in Mean Sea Level,North Atlantic,2014-01-20,14.61
26323,Change in Mean Sea Level,North Pacific,2014-01-20,2.61
26324,Change in Mean Sea Level,Pacific Ocean,2014-01-20,33.46
26340,Change in Mean Sea Level,Atlantic Ocean,2014-01-30,32.12
26344,Change in Mean Sea Level,Gulf Mexico,2014-01-30,-3.24
26349,Change in Mean Sea Level,North Atlantic,2014-01-30,2.21
26350,Change in Mean Sea Level,North Pacific,2014-01-30,0.31
26351,Change in Mean Sea Level,Pacific Ocean,2014-01-30,32.66
26364,Change in Mean Sea Level,Atlantic Ocean,2014-02-09,31.82
26368,Change in Mean Sea Level,Gulf Mexico,2014-02-09,-7.34
26373,Change in Mean Sea Level,North Atlantic,2014-02-09,-14.89
26374,Change in Mean Sea Level,North Pacific,2014-02-09,6.11
26375,Change in Mean Sea Level,Pacific Ocean,2014-02-09,31.76
26392,Change in Mean Sea Level,Atlantic Ocean,2014-02-19,30.22
26395,Change in Mean Sea Level,Gulf Mexico,2014-02-19,-26.54
26399,Change in Mean Sea Level,North Atlantic,2014-02-19,-18.19
26400,Change in Mean Sea Level,North Pacific,2014-02-19,9.71
26401,Change in Mean Sea Level,Pacific Ocean,2014-02-19,35.96
26418,Change in Mean Sea Level,Atlantic Ocean,2014-03-01,27.92
26421,Change in Mean Sea Level,Gulf Mexico,2014-03-01,-29.54
26425,Change in Mean Sea Level,North Atlantic,2014-03-01,-13.89
26426,Change in Mean Sea Level,North Pacific,2014-03-01,-6.59
26427,Change in Mean Sea Level,Pacific Ocean,2014-03-01,38.26
26439,Change in Mean Sea Level,Pacific Ocean,2014-03-10,41.56
26447,Change in Mean Sea Level,Atlantic Ocean,2014-03-11,18.62
26450,Change in Mean Sea Level,Gulf Mexico,2014-03-11,-35.64
26453,Change in Mean Sea Level,North Atlantic,2014-03-11,-30.49
26454,Change in Mean Sea Level,North Pacific,2014-03-11,9.31
26462,Change in Mean Sea Level,Gulf Mexico,2014-03-20,-40.94
26468,Change in Mean Sea Level,Pacific Ocean,2014-03-20,39.76
26476,Change in Mean Sea Level,Atlantic Ocean,2014-03-21,17.12
26479,Change in Mean Sea Level,North Atlantic,2014-03-21,-33.09
26480,Change in Mean Sea Level,North Pacific,2014-03-21,13.51
26486,Change in Mean Sea Level,Atlantic Ocean,2014-03-30,23.42
26488,Change in Mean Sea Level,Gulf Mexico,2014-03-30,-23.64
26493,Change in Mean Sea Level,North Pacific,2014-03-30,5.71
26495,Change in Mean Sea Level,Pacific Ocean,2014-03-30,32.76
26506,Change in Mean Sea Level,North Atlantic,2014-03-31,-38.89
26511,Change in Mean Sea Level,Atlantic Ocean,2014-04-09,19.32
26514,Change in Mean Sea Level,Gulf Mexico,2014-04-09,-15.34
26519,Change in Mean Sea Level,North Atlantic,2014-04-09,-33.49
26520,Change in Mean Sea Level,North Pacific,2014-04-09,12.31
26522,Change in Mean Sea Level,Pacific Ocean,2014-04-09,38.56
26537,Change in Mean Sea Level,Atlantic Ocean,2014-04-19,28.22
26540,Change in Mean Sea Level,Gulf Mexico,2014-04-19,-11.64
26545,Change in Mean Sea Level,North Atlantic,2014-04-19,-22.79
26546,Change in Mean Sea Level,North Pacific,2014-04-19,6.81
26548,Change in Mean Sea Level,Pacific Ocean,2014-04-19,36.86
26562,Change in Mean Sea Level,Atlantic Ocean,2014-04-29,23.82
26566,Change in Mean Sea Level,Gulf Mexico,2014-04-29,26.76
26571,Change in Mean Sea Level,North Atlantic,2014-04-29,-25.59
26572,Change in Mean Sea Level,North Pacific,2014-04-29,8.11
26574,Change in Mean Sea Level,Pacific Ocean,2014-04-29,31.76
26586,Change in Mean Sea Level,Atlantic Ocean,2014-05-09,36.32
26590,Change in Mean Sea Level,Gulf Mexico,2014-05-09,43.86
26595,Change in Mean Sea Level,North Atlantic,2014-05-09,-0.69
26596,Change in Mean Sea Level,North Pacific,2014-05-09,3.81
26598,Change in Mean Sea Level,Pacific Ocean,2014-05-09,27.86
26613,Change in Mean Sea Level,Atlantic Ocean,2014-05-19,25.02
26617,Change in Mean Sea Level,Gulf Mexico,2014-05-19,11.96
26622,Change in Mean Sea Level,North Atlantic,2014-05-19,-12.29
26623,Change in Mean Sea Level,North Pacific,2014-05-19,9.01
26624,Change in Mean Sea Level,Pacific Ocean,2014-05-19,33.66
26640,Change in Mean Sea Level,Atlantic Ocean,2014-05-29,19.82
26644,Change in Mean Sea Level,Gulf Mexico,2014-05-29,13.56
26649,Change in Mean Sea Level,North Atlantic,2014-05-29,-8.89
26650,Change in Mean Sea Level,North Pacific,2014-05-29,14.51
26651,Change in Mean Sea Level,Pacific Ocean,2014-05-29,36.16
26664,Change in Mean Sea Level,Atlantic Ocean,2014-06-08,15.82
26668,Change in Mean Sea Level,Gulf Mexico,2014-06-08,13.06
26672,Change in Mean Sea Level,North Atlantic,2014-06-08,-10.89
26673,Change in Mean Sea Level,North Pacific,2014-06-08,20.71
26674,Change in Mean Sea Level,Pacific Ocean,2014-06-08,36.16
26693,Change in Mean Sea Level,Atlantic Ocean,2014-06-18,29.02
26696,Change in Mean Sea Level,Gulf Mexico,2014-06-18,49.76
26700,Change in Mean Sea Level,North Atlantic,2014-06-18,14.91
26701,Change in Mean Sea Level,North Pacific,2014-06-18,40.71
26702,Change in Mean Sea Level,Pacific Ocean,2014-06-18,35.66
26721,Change in Mean Sea Level,Atlantic Ocean,2014-06-28,38.92
26724,Change in Mean Sea Level,Gulf Mexico,2014-06-28,71.76
26726,Change in Mean Sea Level,North Atlantic,2014-06-28,29.31
26727,Change in Mean Sea Level,North Pacific,2014-06-28,48.81
26728,Change in Mean Sea Level,Pacific Ocean,2014-06-28,40.46
26736,Change in Mean Sea Level,Gulf Mexico,2014-07-07,78.46
26741,Change in Mean Sea Level,North Pacific,2014-07-07,44.01
26743,Change in Mean Sea Level,Pacific Ocean,2014-07-07,39.86
26753,Change in Mean Sea Level,Atlantic Ocean,2014-07-08,45.12
26756,Change in Mean Sea Level,North Atlantic,2014-07-08,37.71
26761,Change in Mean Sea Level,Atlantic Ocean,2014-07-17,36.42
26764,Change in Mean Sea Level,Gulf Mexico,2014-07-17,49.76
26769,Change in Mean Sea Level,North Pacific,2014-07-17,58.11
26771,Change in Mean Sea Level,Pacific Ocean,2014-07-17,45.16
26781,Change in Mean Sea Level,North Atlantic,2014-07-18,36.31
26786,Change in Mean Sea Level,Atlantic Ocean,2014-07-27,37.52
26789,Change in Mean Sea Level,Gulf Mexico,2014-07-27,61.36
26794,Change in Mean Sea Level,North Pacific,2014-07-27,68.51
26796,Change in Mean Sea Level,Pacific Ocean,2014-07-27,43.86
26806,Change in Mean Sea Level,North Atlantic,2014-07-28,49.51
26811,Change in Mean Sea Level,Atlantic Ocean,2014-08-06,40.92
26814,Change in Mean Sea Level,Gulf Mexico,2014-08-06,85.96
26819,Change in Mean Sea Level,North Atlantic,2014-08-06,63.31
26820,Change in Mean Sea Level,North Pacific,2014-08-06,82.71
26822,Change in Mean Sea Level,Pacific Ocean,2014-08-06,40.36
26836,Change in Mean Sea Level,Atlantic Ocean,2014-08-16,41.72
26840,Change in Mean Sea Level,Gulf Mexico,2014-08-16,97.06
26845,Change in Mean Sea Level,North Atlantic,2014-08-16,62.01
26846,Change in Mean Sea Level,North Pacific,2014-08-16,99.01
26848,Change in Mean Sea Level,Pacific Ocean,2014-08-16,44.66
26861,Change in Mean Sea Level,Atlantic Ocean,2014-08-26,47.12
26865,Change in Mean Sea Level,Gulf Mexico,2014-08-26,106.76
26870,Change in Mean Sea Level,North Atlantic,2014-08-26,70.41
26871,Change in Mean Sea Level,North Pacific,2014-08-26,99.01
26873,Change in Mean Sea Level,Pacific Ocean,2014-08-26,47.66
26886,Change in Mean Sea Level,Atlantic Ocean,2014-09-05,46.42
26890,Change in Mean Sea Level,Gulf Mexico,2014-09-05,120.06
26895,Change in Mean Sea Level,North Atlantic,2014-09-05,82.01
26896,Change in Mean Sea Level,North Pacific,2014-09-05,106.81
26898,Change in Mean Sea Level,Pacific Ocean,2014-09-05,50.86
26914,Change in Mean Sea Level,Atlantic Ocean,2014-09-15,46.52
26918,Change in Mean Sea Level,Gulf Mexico,2014-09-15,125.56
26923,Change in Mean Sea Level,North Atlantic,2014-09-15,84.81
26924,Change in Mean Sea Level,North Pacific,2014-09-15,103.41
26925,Change in Mean Sea Level,Pacific Ocean,2014-09-15,49.86
26942,Change in Mean Sea Level,Atlantic Ocean,2014-09-25,50.42
26945,Change in Mean Sea Level,Gulf Mexico,2014-09-25,119.06
26950,Change in Mean Sea Level,North Atlantic,2014-09-25,86.41
26951,Change in Mean Sea Level,North Pacific,2014-09-25,95.81
26952,Change in Mean Sea Level,Pacific Ocean,2014-09-25,43.16
26968,Change in Mean Sea Level,Atlantic Ocean,2014-10-05,55.62
26970,Change in Mean Sea Level,Gulf Mexico,2014-10-05,136.36
26974,Change in Mean Sea Level,North Atlantic,2014-10-05,85.81
26975,Change in Mean Sea Level,North Pacific,2014-10-05,96.51
26976,Change in Mean Sea Level,Pacific Ocean,2014-10-05,49.56
26986,Change in Mean Sea Level,Gulf Mexico,2014-10-14,135.26
26995,Change in Mean Sea Level,Atlantic Ocean,2014-10-15,51.62
27000,Change in Mean Sea Level,North Atlantic,2014-10-15,75.81
27001,Change in Mean Sea Level,North Pacific,2014-10-15,102.81
27002,Change in Mean Sea Level,Pacific Ocean,2014-10-15,53.16
27015,Change in Mean Sea Level,Pacific Ocean,2014-10-24,50.26
27025,Change in Mean Sea Level,Atlantic Ocean,2014-10-25,62.12
27028,Change in Mean Sea Level,Gulf Mexico,2014-10-25,134.86
27030,Change in Mean Sea Level,North Atlantic,2014-10-25,79.71
27031,Change in Mean Sea Level,North Pacific,2014-10-25,100.61
27038,Change in Mean Sea Level,Gulf Mexico,2014-11-03,105.66
27043,Change in Mean Sea Level,North Pacific,2014-11-03,96.91
27045,Change in Mean Sea Level,Pacific Ocean,2014-11-03,48.76
27054,Change in Mean Sea Level,Atlantic Ocean,2014-11-04,54.52
27056,Change in Mean Sea Level,North Atlantic,2014-11-04,72.21
27062,Change in Mean Sea Level,Atlantic Ocean,2014-11-13,62.62
27065,Change in Mean Sea Level,Gulf Mexico,2014-11-13,107.36
27070,Change in Mean Sea Level,North Pacific,2014-11-13,68.61
27072,Change in Mean Sea Level,Pacific Ocean,2014-11-13,40.46
27081,Change in Mean Sea Level,North Atlantic,2014-11-14,80.11
27086,Change in Mean Sea Level,Atlantic Ocean,2014-11-23,63.62
27089,Change in Mean Sea Level,Gulf Mexico,2014-11-23,101.56
27094,Change in Mean Sea Level,North Atlantic,2014-11-23,67.61
27095,Change in Mean Sea Level,North Pacific,2014-11-23,58.91
27097,Change in Mean Sea Level,Pacific Ocean,2014-11-23,29.76
27112,Change in Mean Sea Level,Atlantic Ocean,2014-12-03,62.12
27116,Change in Mean Sea Level,Gulf Mexico,2014-12-03,94.66
27121,Change in Mean Sea Level,North Atlantic,2014-12-03,75.91
27122,Change in Mean Sea Level,North Pacific,2014-12-03,47.61
27124,Change in Mean Sea Level,Pacific Ocean,2014-12-03,32.46
27138,Change in Mean Sea Level,Atlantic Ocean,2014-12-13,54.42
27142,Change in Mean Sea Level,Gulf Mexico,2014-12-13,68.56
27147,Change in Mean Sea Level,North Atlantic,2014-12-13,57.71
27148,Change in Mean Sea Level,North Pacific,2014-12-13,58.71
27150,Change in Mean Sea Level,Pacific Ocean,2014-12-13,49.56
27160,Change in Mean Sea Level,Atlantic Ocean,2014-12-23,35.02
27164,Change in Mean Sea Level,Gulf Mexico,2014-12-23,36.76
27169,Change in Mean Sea Level,North Pacific,2014-12-23,55.61
27171,Change in Mean Sea Level,Pacific Ocean,2014-12-23,50.26
27182,Change in Mean Sea Level,North Atlantic,2014-12-24,32.81
27187,Change in Mean Sea Level,Atlantic Ocean,2015-01-02,28.82
27191,Change in Mean Sea Level,Gulf Mexico,2015-01-02,40.36
27196,Change in Mean Sea Level,North Atlantic,2015-01-02,23.61
27197,Change in Mean Sea Level,North Pacific,2015-01-02,34.21
27198,Change in Mean Sea Level,Pacific Ocean,2015-01-02,46.06
27216,Change in Mean Sea Level,Atlantic Ocean,2015-01-12,29.82
27219,Change in Mean Sea Level,Gulf Mexico,2015-01-12,32.96
27223,Change in Mean Sea Level,North Atlantic,2015-01-12,23.11
27224,Change in Mean Sea Level,North Pacific,2015-01-12,19.41
27225,Change in Mean Sea Level,Pacific Ocean,2015-01-12,49.36
27243,Change in Mean Sea Level,Atlantic Ocean,2015-01-22,36.22
27245,Change in Mean Sea Level,Gulf Mexico,2015-01-22,28.36
27249,Change in Mean Sea Level,North Atlantic,2015-01-22,18.91
27250,Change in Mean Sea Level,North Pacific,2015-01-22,12.31
27251,Change in Mean Sea Level,Pacific Ocean,2015-01-22,43.56
27261,Change in Mean Sea Level,Gulf Mexico,2015-01-31,23.56
27270,Change in Mean Sea Level,Atlantic Ocean,2015-02-01,42.22
27275,Change in Mean Sea Level,North Atlantic,2015-02-01,17.41
27276,Change in Mean Sea Level,North Pacific,2015-02-01,1.21
27277,Change in Mean Sea Level,Pacific Ocean,2015-02-01,35.76
27288,Change in Mean Sea Level,Gulf Mexico,2015-02-10,0.66
27293,Change in Mean Sea Level,North Pacific,2015-02-10,-14.09
27295,Change in Mean Sea Level,Pacific Ocean,2015-02-10,41.16
27303,Change in Mean Sea Level,Atlantic Ocean,2015-02-11,37.42
27305,Change in Mean Sea Level,North Atlantic,2015-02-11,-0.19
27314,Change in Mean Sea Level,Gulf Mexico,2015-02-20,14.26
27319,Change in Mean Sea Level,North Pacific,2015-02-20,5.81
27321,Change in Mean Sea Level,Pacific Ocean,2015-02-20,42.86
27329,Change in Mean Sea Level,Atlantic Ocean,2015-02-21,48.22
